Original_Predictor,Importance
DIB_DIBEV,0.2970526266271372
CHR_OBEV,0.2165416798571838
BMICAT6,0.1152839143331309
P_AGE5YRS_R,0.09625236784646479
P_POVERTY4_R,0.0474497310961908
DEM_REGION,0.0443313805808664
DEM_RACEETH,0.044207226547399926
P_EDUCATION_I_R,0.036136347407336594
P_SEX,0.0353256278832267
ACC_HTHUSUAL,0.0324354792493202
DOCVIS_P12M,0.0237416536518393
INSURED,0.011241964919902
