Original_Predictor,Absolute_Coefficient
P_AGE5YRS_R,2.8826949106756863
DIB_DIBEV,2.44645909185616
DEM_RACEETH,2.2888601858063082
BMICAT6,1.4384053507157148
CHR_OBEV,1.425938667398457
INSURED,0.8766310669494568
P_POVERTY4_R,0.6647215967253803
DEM_REGION,0.517713519966568
ACC_HTHUSUAL,0.5099748824626974
P_SEX,0.4589648224552618
DOCVIS_P12M,0.3831406894058868
P_EDUCATION_I_R,0.2219269341824771
